id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
865045,3991683,Coyoacan,Bed and breakfast,Hotel room,2,634,3,15,1,1,moderate,11,9
865070,3991683,Coyoacan,Bed and breakfast,Hotel room,2,611,3,15,1,1,moderate,8,10
868843,3850198,Cuauhtemoc,Serviced apartment,Hotel room,2,1128,4,730,1,1,moderate,27,10
868986,3850198,Cuauhtemoc,Serviced apartment,Entire home/apt,2,1132,4,730,1,1,moderate,11,10
869063,3850198,Cuauhtemoc,Serviced apartment,Hotel room,2,1132,3,730,1,1,moderate,17,10
883511,3777702,Cuauhtemoc,House,Entire home/apt,16,3826,1,90,10,16,strict_14_with_grace_period,168,10
896522,4647293,Cuauhtemoc,Apartment,Entire home/apt,2,1245,2,365,1,1,flexible,172,10
898633,4796027,Cuauhtemoc,Apartment,Private room,2,860,2,10,1,1,strict_14_with_grace_period,46,10
911088,2875548,Cuauhtemoc,Apartment,Private room,1,1276,1,1125,1,,flexible,0,
931771,5019262,Coyoacan,House,Private room,2,315,1,1125,1,1,moderate,2,9
939721,4821807,Cuauhtemoc,Loft,Entire home/apt,3,1925,3,365,1,2,strict_14_with_grace_period,394,10
958470,5215017,Benito Juarez,Apartment,Shared room,2,28777,1,30,1,2,flexible,0,
980600,4157866,Venustiano Carranza,Other,Private room,1,450,1,300,1,1,strict_14_with_grace_period,47,10
997247,5479592,Cuauhtemoc,Apartment,Entire home/apt,4,1812,2,1000,2,2,strict_14_with_grace_period,333,10
1001517,5507751,Coyoacan,House,Entire home/apt,6,2264,2,200,2,2,strict_14_with_grace_period,70,10
1007174,5540061,Cuauhtemoc,House,Private room,2,906,3,90,1,2,moderate,9,10
1011428,5307709,Alvaro Obregon,House,Entire home/apt,6,7019,7,90,3,4,moderate,15,10
1013504,1664327,Coyoacan,House,Private room,1,362,2,200,1,1,flexible,46,10
1019309,3151394,Miguel Hidalgo,Condominium,Entire home/apt,4,996,1,1125,2,2,strict_14_with_grace_period,66,10
1051636,1809694,Cuauhtemoc,Apartment,Private room,2,883,2,120,1,2,strict_14_with_grace_period,23,9
1056473,403236,Cuauhtemoc,Apartment,Entire home/apt,4,2446,3,35,2,2,moderate,167,10
