"id","host_id","neighbourhood","property_type","room_type","accommodates","price","minimum_nights","maximum_nights","bedrooms","beds","cancellation_policy","number_of_reviews","review_scores_accuracy"
13361477,19615454,6,29,1,2,2233,7,180,1,2,"moderate",0,NA
13361482,41489963,4,26,3,1,203,3,1125,1,1,"moderate",56,10
13362022,61872126,11,2,1,3,1245,20,300,1,1,"moderate",1,10
13372658,75927636,9,2,3,1,225,1,1125,1,1,"flexible",0,NA
13376361,15607965,4,26,1,4,1358,7,1125,1,1,"strict_14_with_grace_period",33,10
13376833,22931264,6,15,1,12,6115,3,1125,4,8,"flexible",19,10
13377447,76003736,6,2,3,1,408,4,180,1,1,"flexible",8,9
13378940,76028290,6,2,3,2,294,2,20,1,1,"moderate",5,8
13379933,65133084,11,29,1,4,1223,1,1125,1,1,"flexible",7,10
13381190,9035721,6,15,1,3,1766,1,365,1,1,"moderate",15,10
13386654,61872126,11,2,1,2,951,7,360,1,3,"flexible",15,10
13389120,61598372,14,30,3,16,3205,1,7,2,16,"strict_14_with_grace_period",0,NA
13389168,73209284,4,2,3,1,226,1,28,1,1,"moderate",18,10
13389722,33071705,14,26,3,1,226,4,1125,1,1,"strict_14_with_grace_period",8,10
13390004,3489734,3,2,3,1,385,2,60,1,1,"moderate",1,10
13391074,26557671,6,2,1,2,1064,4,1125,1,1,"strict_14_with_grace_period",24,10
13391519,76161253,11,2,1,4,860,2,1125,2,0,"moderate",52,10
13392070,37421422,11,2,3,2,747,2,90,1,1,"moderate",6,10
13392459,7323488,6,2,3,4,543,1,1125,1,3,"flexible",193,10
13394014,50154603,3,2,3,1,226,2,31,1,1,"strict_14_with_grace_period",5,10
13396216,64640921,6,2,1,2,1993,2,5,1,1,"flexible",0,NA
13396919,76218567,6,2,3,2,406,1,3,1,1,"flexible",5,10
13397241,72318105,6,2,1,2,362,30,1125,1,1,"strict_14_with_grace_period",32,10
13398036,70937648,6,2,1,4,1200,1,1125,2,2,"moderate",342,10
13398244,37187937,11,29,1,2,1336,2,99,1,1,"strict_14_with_grace_period",141,10
13398508,16106466,6,2,3,2,453,3,1125,1,1,"flexible",16,10
13398757,75283734,11,26,1,6,10188,8,360,3,4,"flexible",0,NA
13399378,76259511,1,2,1,4,524,1,30,2,2,"flexible",6,10
13402271,32234917,6,26,3,2,861,1,1125,1,1,"moderate",27,10
13406130,48190358,6,2,1,4,1060,3,1125,2,3,"strict_14_with_grace_period",150,10
13411437,57267861,6,26,3,1,249,4,1125,1,1,"flexible",0,NA
13414970,76421517,5,23,3,2,793,2,1125,1,2,"flexible",0,NA
13415611,76430461,5,26,3,1,336,2,90,1,1,"flexible",27,10
13415704,76430925,3,2,1,2,498,2,1125,1,1,"strict_14_with_grace_period",93,10
13417415,5755202,11,29,1,4,2106,3,1000,1,2,"moderate",64,10
13429643,76575952,11,2,3,2,566,2,1125,1,1,"flexible",5,10
13430622,6546974,3,2,3,2,1246,1,5,1,1,"flexible",0,NA
13432933,67470346,6,2,1,5,1948,1,1125,2,3,"moderate",112,10
13433667,57035367,1,2,3,2,657,1,1125,1,0,"flexible",0,NA
13434397,76277910,6,2,1,5,589,1,1125,3,3,"moderate",21,10
13435584,33701784,6,2,1,4,2255,3,25,1,1,"moderate",0,NA
13436327,76659217,6,2,3,2,315,3,62,1,1,"moderate",17,10
13436433,76661002,3,2,3,3,272,1,30,1,2,"strict_14_with_grace_period",7,10
13436638,76664553,10,2,1,2,1125,1,10,1,1,"flexible",0,NA
13451660,27015792,6,2,1,2,566,2,28,1,1,"strict_14_with_grace_period",202,9
13452812,76847021,11,2,1,4,1041,2,365,2,2,"moderate",123,10
13463360,72770846,4,29,3,2,2491,1,1125,1,1,"moderate",7,10
13466334,40952309,3,15,1,4,476,28,1125,2,2,"moderate",15,10
13466517,18152754,6,2,3,2,657,2,1125,1,1,"flexible",6,9
13466649,45209419,11,2,3,2,725,2,1125,1,1,"moderate",11,10
13475590,77112473,4,15,1,4,1208,7,365,2,2,"moderate",0,NA
13478443,47285485,6,2,1,2,679,3,1125,1,1,"strict_14_with_grace_period",52,9
13479615,77170301,11,15,1,6,2287,2,15,2,3,"moderate",167,10
13487887,45940829,6,2,3,2,249,1,5,1,2,"flexible",10,10
13492108,66113264,6,15,1,4,4303,1,90,2,2,"moderate",81,10
13494145,16106466,6,2,1,2,906,2,1125,1,1,"flexible",0,NA
13494320,77353448,5,15,3,2,408,2,1125,1,1,"moderate",9,10
13495163,45912316,3,2,1,4,1019,1,1125,2,2,"flexible",46,10
13495969,77381212,6,2,1,4,1200,2,186,2,2,"strict_14_with_grace_period",90,10
13496061,70364366,6,2,3,1,226,15,30,1,1,"moderate",0,NA
13496434,62684666,14,26,1,12,453,2,1125,5,9,"strict_14_with_grace_period",29,9
13496555,25416724,4,26,3,2,543,2,30,1,2,"moderate",67,10
13504088,62248099,6,2,1,2,1472,3,7,0,1,"strict_14_with_grace_period",0,NA
13505249,50305161,6,2,1,2,1925,3,90,1,1,"moderate",103,10
13506548,50305161,6,2,1,4,2242,3,90,2,2,"moderate",130,10
13507686,50305161,6,2,1,4,2242,3,90,2,2,"moderate",148,10
13512981,50510816,4,15,1,2,725,3,30,1,0,"moderate",16,10
13514931,77600854,1,29,4,2,361,3,15,1,2,"flexible",0,NA
13527320,21774394,6,15,1,2,1019,1,1125,1,1,"strict_14_with_grace_period",119,9
13528114,76771100,5,26,3,2,784,1,30,1,2,"flexible",33,10
13531548,77791242,11,2,1,4,543,2,360,2,3,"moderate",97,9
13533390,2818226,3,2,3,2,496,1,1125,1,1,"flexible",1,10
13535053,35406862,6,4,3,16,2038,1,1125,16,16,"strict_14_with_grace_period",1,10
13542067,31853739,6,2,1,5,974,3,180,2,2,"moderate",65,10
13542453,7404946,6,2,1,6,5209,3,60,3,3,"strict_14_with_grace_period",0,NA
13544703,70937648,6,29,1,2,906,1,1125,1,2,"moderate",348,10
13545303,49735631,5,26,3,2,702,1,1125,1,1,"flexible",7,9
13558823,48259354,6,2,1,2,1466,2,1125,1,1,"strict_14_with_grace_period",93,10
13559920,67124633,6,2,3,2,2558,2,1125,1,1,"strict_14_with_grace_period",9,10
13561758,7609684,6,2,1,3,1291,3,1125,1,1,"strict_14_with_grace_period",107,10
13575595,4448934,6,2,1,4,1782,2,1125,1,2,"flexible",122,9
13577099,1171970,6,15,1,5,1812,3,31,2,2,"strict_14_with_grace_period",30,9
13577145,52264626,1,26,3,2,495,1,1125,1,1,"flexible",1,10
13578420,78353248,6,2,1,7,2876,20,1125,3,3,"strict_14_with_grace_period",131,10
13578613,78354501,6,2,3,2,476,1,1125,1,1,"flexible",7,10
13578844,78359324,6,2,3,4,702,1,1125,2,2,"moderate",111,10
13585210,78424487,4,2,3,2,317,2,30,1,1,"moderate",9,10
13587715,78456925,6,33,2,2,543,28,1125,1,1,"moderate",28,10
13591658,49735631,5,26,4,2,793,1,1124,1,2,"flexible",16,10
13601215,78652110,6,2,3,2,657,1,1125,1,1,"flexible",2,10
13602283,78666056,11,2,1,2,1472,15,1125,1,1,"flexible",0,NA
13605876,62188695,6,2,3,2,340,1,1125,1,1,"flexible",2,8
13605940,68768013,11,2,3,3,1109,2,6,1,2,"flexible",0,NA
13606858,51622893,2,2,1,4,810,1,1125,1,2,"flexible",26,10
13607398,71575956,6,2,1,5,883,2,60,2,5,"moderate",43,10
13620472,12216741,6,15,1,8,1630,1,60,2,4,"moderate",188,10
13621628,77815987,6,2,3,2,902,2,40,1,1,"flexible",0,NA
13622586,49735631,5,26,3,2,793,1,365,1,2,"flexible",4,10
13622872,49735631,5,26,4,4,928,1,1125,1,2,"flexible",11,10
13623382,78925329,2,2,3,2,362,2,14,1,1,"moderate",0,NA
13624213,78940021,6,2,3,1,294,2,15,1,1,"flexible",0,NA
13625499,69511858,3,33,3,2,475,1,1125,1,4,"flexible",3,2
13631948,19159485,6,2,3,2,294,2,1125,1,1,"flexible",1,NA
13633064,78716467,11,2,3,2,566,1,60,1,1,"flexible",34,10
13634443,2663410,6,29,1,2,453,3,1125,1,1,"moderate",101,10
13635040,30672063,6,26,3,1,383,3,36,1,1,"flexible",82,10
13636595,79086341,4,2,3,2,3418,1,1125,1,1,"flexible",0,NA
13640012,79129003,1,26,3,1,608,1,1125,1,1,"flexible",0,NA
13641884,68768013,11,15,3,3,1540,1,1125,1,3,"flexible",0,NA
13651757,18736889,1,2,1,4,1511,1,1125,2,3,"flexible",1,NA
13653458,47665322,11,2,1,2,1155,1,1125,1,1,"strict_14_with_grace_period",184,9
13654417,36453886,11,2,1,6,2717,1,45,3,4,"moderate",59,9
13655776,79326324,5,26,1,4,1800,30,60,4,4,"flexible",0,NA
13658546,12130503,3,2,3,2,408,2,100,1,1,"strict_14_with_grace_period",85,10
13658719,33323056,11,15,1,2,798,1,1125,1,1,"strict_14_with_grace_period",42,10
13658816,44527760,6,2,1,2,1993,1,7,1,1,"flexible",0,NA
13660267,24020790,6,2,1,8,2491,5,40,3,5,"strict_14_with_grace_period",247,10
13665937,79387581,6,2,1,8,3171,2,90,3,4,"strict_14_with_grace_period",103,10
13666188,68935586,3,2,3,1,543,6,370,1,1,"flexible",0,NA
13666685,24698042,11,33,1,4,996,3,1125,2,2,"strict_14_with_grace_period",9,9
13668039,79482456,6,26,3,2,248,1,15,1,2,"moderate",22,10
13669513,9324919,6,2,1,2,770,2,1125,1,1,"flexible",115,10
13673037,79542425,11,2,1,2,566,30,91,2,1,"moderate",14,10
13673233,57464095,3,2,1,2,657,2,1125,2,1,"flexible",6,9
13674148,79556629,4,6,3,2,611,1,1125,6,1,"strict_14_with_grace_period",12,9
13684444,61872126,11,33,1,2,1177,6,180,1,1,"moderate",18,10
13688094,27750927,6,2,1,4,1155,1,365,1,1,"strict_14_with_grace_period",150,10
13688188,79742505,1,26,3,1,743,5,60,1,1,"flexible",0,NA
13688387,71988261,6,26,3,2,340,2,1125,1,1,"moderate",21,10
13688847,79752628,3,29,1,2,883,2,1125,1,1,"flexible",78,10
13689463,7174720,11,2,1,3,2491,2,1125,1,1,"strict_14_with_grace_period",43,10
13699628,16019099,6,2,3,2,453,14,60,1,1,"moderate",31,10
13699845,18287331,6,2,1,4,544,1,1125,2,2,"flexible",0,NA
13701373,79556629,4,26,3,2,543,1,1125,1,1,"strict_14_with_grace_period",29,9
13701449,79556629,4,26,3,2,501,1,1125,1,1,"strict_14_with_grace_period",60,9
13708491,12115641,3,2,1,5,1200,2,60,2,2,"moderate",136,10
13709423,70164455,3,15,1,4,798,2,1125,2,2,"flexible",20,9
13709621,15963052,14,26,3,2,540,2,90,1,1,"flexible",17,10
13725951,22348475,14,2,1,2,4500,3,1125,2,5,"flexible",0,NA
13727798,80278443,11,29,1,2,996,2,14,1,1,"strict_14_with_grace_period",52,10
13728290,80286124,6,2,1,4,1246,2,1125,2,3,"strict_14_with_grace_period",27,10
13728337,20672582,3,2,3,2,385,1,1125,2,4,"strict_14_with_grace_period",7,10
13728377,80286646,3,2,1,3,1132,1,1125,1,2,"moderate",11,8
13730092,61872126,11,15,1,2,951,7,1125,1,1,"moderate",14,10
13731336,80269593,3,2,3,2,410,1,5,1,1,"flexible",34,10
13746108,80498963,6,2,1,4,408,2,100,2,3,"moderate",147,10
13747260,79090090,6,2,1,6,1495,2,1125,3,2,"flexible",1,6
13748434,22348475,1,26,1,4,2849,3,1125,2,5,"flexible",0,NA
13751465,80568143,14,26,3,1,315,1,1125,1,1,"strict_14_with_grace_period",2,10
13752095,76463984,4,26,3,2,408,1,1125,1,1,"flexible",0,NA
13752821,80591329,3,2,3,2,361,1,1125,1,1,"flexible",4,10
13753916,8654452,6,2,3,2,589,2,1125,1,1,"flexible",1,10
13760432,60511924,6,2,1,9,3057,1,44,4,5,"moderate",131,10
13764151,80691901,7,2,3,2,179,1,1125,1,1,"flexible",13,10
13764835,80721058,6,2,1,3,1110,3,365,1,2,"moderate",131,10
13766951,80749932,11,15,1,4,2491,6,125,3,0,"flexible",1,10
13768088,50595409,3,2,3,2,340,1,1125,1,1,"flexible",0,NA
13769281,80769998,6,2,3,2,249,1,1125,1,1,"flexible",0,NA
13771388,80240700,4,2,3,1,204,30,106,1,1,"flexible",1,10
13785136,3331398,6,2,3,2,589,1,1125,1,1,"strict_14_with_grace_period",0,NA
13786185,37421422,11,2,3,2,725,2,90,1,1,"flexible",27,10
13786312,9557015,6,2,1,6,2989,2,180,3,4,"moderate",79,10
13787897,64688993,6,2,1,6,1177,1,1125,3,5,"moderate",105,10
13787920,80996686,3,2,3,2,228,7,9,1,1,"flexible",0,NA
13788743,81010801,4,26,3,1,182,1,90,1,0,"moderate",6,10
13788922,24109500,6,2,1,6,2604,1,1125,3,0,"strict_14_with_grace_period",28,10
13800281,57063980,6,29,1,3,1359,3,15,1,2,"moderate",105,10
13812210,49735631,5,26,3,2,889,1,1125,1,2,"flexible",23,10
13815495,23330390,4,15,3,1,340,1,10,1,1,"flexible",0,NA
13816771,76012284,6,2,3,2,430,1,60,1,1,"moderate",66,10
13822657,52251653,6,2,3,2,294,30,1125,1,1,"flexible",15,10
13825176,81477418,4,2,1,2,540,2,365,1,1,"flexible",22,9
13827507,81510079,3,29,1,2,521,1,1125,1,1,"flexible",8,8
13829368,81537585,6,2,3,1,408,29,1125,1,1,"flexible",7,9
13829504,1795374,6,2,1,5,1240,30,100,2,2,"moderate",86,10
13829934,42733340,11,2,3,2,340,2,1125,1,1,"moderate",16,9
13839476,81656069,6,23,3,2,294,1,9,1,1,"flexible",1,6
13841814,72318105,6,2,1,2,408,25,1125,1,1,"strict_14_with_grace_period",18,9
13844394,81697571,4,2,3,2,2621,1,1125,1,1,"flexible",0,NA
13844825,74863207,3,2,3,2,566,1,1125,1,1,"moderate",0,NA
13845320,81289263,3,2,1,5,657,3,1125,2,2,"moderate",22,9
13845452,53355378,6,2,1,4,1132,2,1125,1,2,"strict_14_with_grace_period",74,9
13845603,11794292,6,2,1,5,1925,2,1125,2,3,"strict_14_with_grace_period",8,10
13848614,81772442,3,29,1,3,453,1,3,1,1,"flexible",0,NA
13848704,29538368,11,2,3,1,408,1,30,1,1,"flexible",6,10
13857602,1892866,6,2,3,3,902,1,50000,1,2,"flexible",14,10
13859353,47665322,6,29,1,2,1110,2,1125,1,1,"strict_14_with_grace_period",28,9
13859779,42599988,11,2,1,6,2943,2,1125,2,2,"strict_14_with_grace_period",4,10
13859959,24767612,11,26,3,2,1857,1,1125,1,1,"flexible",0,NA
13862291,1892866,6,2,3,3,902,1,5000,1,1,"flexible",0,NA
13863462,1892866,6,2,3,3,906,1,50000,1,1,"flexible",17,10
13863962,1892866,6,2,3,3,702,1,5000,1,1,"flexible",8,9
13864330,69708118,6,29,1,2,1449,3,1125,0,0,"strict_14_with_grace_period",46,10
13865092,78820030,1,26,3,2,589,1,365,1,1,"strict_14_with_grace_period",60,10
13865458,81964704,14,26,3,2,560,1,1125,1,1,"flexible",0,NA
13865921,56738978,3,2,3,2,317,1,20,1,1,"flexible",8,10
13867585,4448934,6,2,1,4,1336,3,1125,1,1,"moderate",109,9
13875388,70507707,3,2,3,1,204,2,20,1,1,"strict_14_with_grace_period",63,10
13877322,3977177,6,2,1,3,951,3,45,1,1,"moderate",171,10
13877527,82087386,11,2,3,2,657,1,1125,1,1,"flexible",0,NA
13880149,78871360,6,2,3,1,204,2,1125,1,1,"moderate",16,10
13883127,82174572,3,2,1,2,1132,1,6,1,1,"flexible",0,NA
13884300,82193330,6,2,3,1,385,5,1125,1,1,"flexible",0,NA
13885366,82209148,4,26,3,1,204,1,30,1,1,"moderate",1,NA
13890466,30967222,6,2,3,2,634,1,1125,1,2,"flexible",0,NA
13892411,59336807,4,2,3,1,180,2,180,1,1,"flexible",27,10
13892577,82288695,3,26,3,2,906,1,1125,1,1,"flexible",0,NA
13896028,82322722,6,2,1,2,1019,1,1125,1,2,"moderate",161,10
13896692,82338032,6,15,3,2,338,1,3,1,2,"flexible",0,NA
13899559,66516761,4,2,1,2,634,2,1125,1,1,"flexible",68,10
13900019,20618830,6,29,1,2,1359,3,91,0,1,"moderate",94,10
13908619,37777516,6,2,1,2,586,3,31,2,1,"flexible",5,10
13908753,81720992,3,2,3,1,204,3,60,1,1,"moderate",33,10
13908900,26873851,3,2,3,2,747,1,15,1,1,"flexible",1,10
13909082,82489572,6,2,3,2,679,1,1125,1,1,"flexible",0,NA
13909665,82321286,11,2,1,4,1698,1,1125,2,2,"strict_14_with_grace_period",186,10
13914159,46247902,1,29,1,2,866,2,1125,1,1,"strict_14_with_grace_period",37,10
13916407,82589142,6,2,1,2,951,3,1125,1,1,"strict_14_with_grace_period",108,10
13922976,75525375,14,26,3,1,203,3,365,1,1,"moderate",3,10
13924314,61873584,14,2,1,2,747,2,31,1,2,"flexible",107,10
13928018,47215791,3,26,3,2,203,1,1125,1,1,"flexible",0,NA
13929329,82763031,4,15,3,2,385,1,7,1,1,"flexible",0,NA
13934740,42700394,6,2,1,3,1064,1,1125,1,1,"moderate",169,10
13941205,15963052,14,26,3,1,493,2,60,1,1,"flexible",15,10
13941354,82924039,2,26,4,2,203,1,1125,1,2,"flexible",0,NA
13941610,19003253,6,2,3,2,861,1,1125,1,1,"flexible",0,NA
13943114,50083380,6,2,3,1,543,3,1125,1,1,"flexible",2,10
13946295,10764020,11,2,1,6,2481,1,1125,2,2,"strict_14_with_grace_period",38,9
13951864,30471639,6,2,1,2,609,7,180,0,1,"moderate",23,9
13952338,83058319,11,2,1,4,2393,2,365,2,2,"flexible",129,10
13954929,83095268,4,2,3,2,294,3,30,1,1,"flexible",3,9
13957555,83131284,14,31,1,8,11323,1,1125,5,6,"flexible",0,NA
13959572,57328421,4,26,3,1,408,2,1125,1,2,"flexible",5,10
13961056,83095336,6,15,3,2,362,2,30,1,1,"moderate",16,10
13971523,29060598,3,29,3,1,747,1,2,1,1,"flexible",1,NA
13972239,83299424,11,2,3,2,1359,1,1125,1,1,"moderate",2,10
13975187,21970685,6,2,1,8,2650,2,730,3,4,"moderate",240,10
13976632,10136213,6,2,3,1,406,2,3,1,1,"flexible",0,NA
13979143,28347866,11,2,1,2,747,3,15,1,1,"moderate",61,10
13980213,83403366,6,2,3,2,296,2,300,1,1,"moderate",89,10
13981027,83417824,11,2,3,2,451,1,7,1,1,"flexible",9,10
13981214,83369983,14,2,1,2,563,2,2,1,1,"flexible",0,NA
13982085,79278743,3,15,1,4,1291,2,1125,2,2,"moderate",18,10
13993000,74617873,3,2,3,2,408,1,15,1,1,"moderate",43,10
13993647,51032284,6,2,4,2,566,1,90,1,0,"strict_14_with_grace_period",32,10
13996957,61872126,11,2,1,2,860,1,1125,1,3,"flexible",4,10
13997120,82209148,4,26,3,2,340,1,1125,1,1,"flexible",0,NA
14004887,2281290,3,2,1,2,521,3,1125,1,2,"moderate",64,9
14009995,83753460,5,2,3,1,6724,1,1125,1,1,"flexible",0,NA
14010842,4718097,6,35,3,2,498,2,29,1,0,"moderate",41,10
14013213,50466607,3,22,3,1,294,7,1125,1,1,"strict_14_with_grace_period",11,9
14013541,14991614,4,26,3,1,204,2,1125,1,1,"flexible",8,10
14024956,83932320,6,2,3,1,273,5,1125,1,1,"flexible",4,10
14025785,83941570,6,2,3,2,385,2,1125,1,1,"strict_14_with_grace_period",73,10
14026274,14258094,6,2,3,2,566,5,365,1,1,"strict_14_with_grace_period",23,10
14026346,83940680,6,15,1,5,974,1,1125,2,2,"moderate",52,10
14026497,21570721,5,2,1,3,860,2,130,1,1,"moderate",89,10
14027382,14258094,6,2,3,2,453,14,365,1,1,"moderate",20,10
14027701,83967510,6,2,1,4,1495,2,1125,2,2,"strict_14_with_grace_period",78,10
14029375,83414920,11,2,3,2,566,1,25,1,2,"flexible",0,NA
14031641,35242026,11,15,3,1,906,2,60,1,1,"flexible",0,NA
14038856,50305161,6,2,1,4,2242,3,90,2,2,"moderate",138,10
14050956,30130123,3,2,1,3,498,6,20,1,1,"moderate",0,NA
14055422,22074940,6,2,1,4,1404,2,1125,1,1,"strict_14_with_grace_period",213,10
14055708,84329907,11,2,3,2,543,5,180,1,1,"strict_14_with_grace_period",3,10
14058058,56142400,6,2,3,2,453,2,27,1,1,"flexible",0,NA
14058536,82940940,4,26,1,8,3396,1,1125,3,3,"strict_14_with_grace_period",144,10
14058722,74360505,6,2,3,2,385,1,1125,1,1,"moderate",23,10
14059367,70216209,6,2,3,2,249,1,15,1,1,"flexible",83,10
14064000,33702593,3,15,1,6,996,2,1125,2,3,"strict_14_with_grace_period",81,10
14067654,65060359,4,2,3,2,385,14,1125,1,1,"moderate",6,10
14070171,45244264,6,29,1,2,1240,2,89,0,1,"moderate",125,10
14070633,18659763,6,2,1,4,951,1,1125,1,1,"flexible",148,10
14072918,82940940,4,29,1,2,1313,1,1125,1,1,"moderate",214,10
14074756,7838265,6,26,1,10,5503,7,1125,5,5,"moderate",61,10
14076300,75927636,13,2,3,1,270,1,1125,1,1,"flexible",2,10
14076475,57821405,11,2,1,4,1353,1,1125,2,2,"moderate",75,10
14076661,26124375,11,2,3,6,1601,5,30,3,3,"flexible",0,NA
14077475,84374966,11,2,1,4,1698,28,365,2,2,"strict_14_with_grace_period",38,10
14078170,20180134,11,2,1,2,883,2,1125,1,1,"strict_14_with_grace_period",22,9
14079141,20873257,6,2,3,2,498,1,7,1,1,"moderate",9,10
14086465,20180134,11,2,1,2,861,2,365,1,1,"strict_14_with_grace_period",23,9
14086718,52652169,9,2,3,2,203,1,1125,1,1,"flexible",37,10
14089400,84712824,3,2,1,6,1041,1,30,2,3,"moderate",88,10
14090017,1222626,6,2,3,2,453,3,120,1,2,"moderate",20,10
14098767,56264441,3,26,3,2,592,2,15,1,1,"flexible",13,10
14101317,84884105,15,33,1,5,996,1,1125,2,4,"strict_14_with_grace_period",15,10
14105814,66446530,4,26,3,2,1709,1,1125,1,1,"flexible",0,NA
14106137,66446530,4,26,3,2,1630,1,1125,1,1,"flexible",1,8
14110811,63797485,1,2,3,2,661,1,90,1,1,"flexible",0,NA
14119235,85101964,9,15,3,1,203,1,5,1,1,"flexible",0,NA
14123434,52271768,10,15,1,6,2250,2,1125,2,3,"moderate",10,10
14126164,85183188,11,2,1,2,747,5,100,0,1,"strict_14_with_grace_period",5,10
14126385,85193022,11,2,3,1,5660,1,1125,1,1,"flexible",0,NA
14127868,55960466,4,26,3,1,408,2,30,1,1,"flexible",0,NA
14127896,13709233,6,2,1,4,906,3,90,2,3,"moderate",53,10
14127982,55960466,1,2,3,1,248,1,1125,1,1,"flexible",0,NA
14128875,81477418,4,2,1,2,540,2,1125,1,1,"flexible",54,10
14135964,41489963,4,26,3,1,180,3,1125,1,1,"moderate",44,10
14141163,5839278,6,2,1,4,1359,2,1125,1,3,"strict_14_with_grace_period",202,10
14143236,34012766,11,2,3,3,566,3,20,1,1,"flexible",0,NA
14149797,85481963,1,2,1,3,889,7,30,2,2,"flexible",0,NA
14150077,10644799,15,29,1,2,518,1,1125,1,1,"flexible",555,9
14150131,10644799,15,29,1,4,473,1,1125,2,3,"flexible",506,10
14150450,85481963,1,2,1,3,1200,7,1125,2,2,"moderate",1,10
14151455,54993110,11,2,1,2,1336,2,31,1,1,"strict_14_with_grace_period",182,10
14151696,2872228,6,2,1,3,1562,2,60,1,1,"moderate",3,10
14151861,84329907,11,15,3,2,543,2,180,1,1,"flexible",3,8
14153300,7174720,11,2,1,5,4330,2,1125,3,3,"strict_14_with_grace_period",53,10
14166338,85708426,11,2,1,2,906,2,7,1,1,"moderate",136,10
14167051,8534781,6,2,3,3,679,1,60,1,2,"flexible",5,10
14167930,22931264,6,2,1,6,4511,3,1125,2,4,"flexible",1,10
14169273,85755897,11,2,1,2,2717,14,120,1,1,"strict_14_with_grace_period",1,10
14169595,85763002,1,2,1,2,319,3,1124,1,1,"moderate",1,6
14177384,21541471,11,2,1,3,498,3,25,1,2,"flexible",2,10
14180322,39406062,6,2,1,8,996,2,30,2,4,"moderate",96,10
14183046,27603987,6,2,1,7,2876,2,1123,4,4,"moderate",135,10
14183733,13667851,4,26,3,2,408,1,1125,1,2,"flexible",13,10
14183779,53355378,6,2,1,2,1128,2,1125,1,1,"strict_14_with_grace_period",102,10
14184344,54993110,11,2,1,2,1381,2,31,1,1,"strict_14_with_grace_period",208,10
14184488,85561452,9,15,3,1,226,1,30,1,1,"flexible",8,10
14185038,15401373,6,29,1,2,1404,2,300,1,1,"flexible",125,10
14185415,46420978,6,26,3,2,544,2,14,1,1,"moderate",58,10
14185431,15401373,6,29,1,2,1404,2,100,1,1,"flexible",136,10
14185839,45912862,3,2,1,4,1245,2,1125,2,2,"flexible",74,10
14186060,85976941,9,2,3,2,249,1,1125,1,1,"flexible",108,10
14186187,85979086,3,2,1,5,679,2,1125,2,2,"strict_14_with_grace_period",52,9
14186482,85983967,3,15,1,6,1291,3,365,3,4,"flexible",124,10
14186780,24020790,6,2,1,6,3510,1,1125,2,4,"strict_14_with_grace_period",181,10
14187509,37742252,11,2,1,4,1585,1,1125,2,2,"moderate",61,9
14187556,15981957,6,15,1,4,1811,2,1125,2,3,"strict_14_with_grace_period",72,10
14187621,86001087,3,2,3,2,204,1,1125,1,1,"flexible",1,NA
14194677,25657184,3,2,3,2,453,1,1125,1,1,"moderate",152,10
14194678,25657184,3,2,3,2,408,1,1125,1,1,"moderate",131,10
14203630,49836026,4,35,1,2,866,2,30,0,0,"flexible",2,7
14204902,86210688,4,2,3,2,294,1,1125,1,2,"flexible",116,10
14213551,86308257,4,2,1,6,453,2,365,2,3,"moderate",39,10
14215424,86330364,11,2,3,1,498,4,1125,1,1,"moderate",106,10
14215646,13284508,6,15,1,4,1699,2,45,2,2,"moderate",81,10
14216252,86338404,11,2,1,4,1245,3,180,2,2,"moderate",58,10
14220560,86392849,4,26,1,4,479,1,1125,1,2,"flexible",74,9
14222287,34227366,11,29,1,2,906,1,1125,0,2,"flexible",3,10
14231708,68301058,3,2,3,2,18113,1,1125,2,2,"flexible",0,NA
14232270,86521513,11,2,1,4,1849,2,1125,2,2,"strict_14_with_grace_period",100,10
14232422,43039281,6,29,1,5,1585,1,60,1,1,"flexible",157,10
14237213,86406466,14,26,3,2,319,1,1125,1,2,"moderate",38,10
14239150,11984740,4,26,3,1,226,1,100,1,1,"flexible",1,10
14247265,1211416,6,2,1,2,1105,5,1124,1,1,"moderate",49,9
14251362,42346676,11,2,1,2,1699,2,14,1,1,"flexible",0,NA
14253797,38864554,6,2,1,2,793,8,1125,1,1,"flexible",36,10
14254637,86076949,15,15,3,2,272,1,1125,1,1,"moderate",285,10
14254645,25910302,6,2,1,5,1495,1,180,2,4,"moderate",188,10
14254780,38262203,6,2,3,2,294,1,1125,1,1,"strict_14_with_grace_period",16,9
14255944,79556629,4,26,3,2,611,1,1125,1,2,"strict_14_with_grace_period",24,9
14263509,86903834,11,2,4,1,430,2,30,1,1,"flexible",16,9
14266129,86939489,11,2,3,2,340,1,1125,1,2,"flexible",59,10
14268032,66991075,4,2,3,3,843,1,1125,1,4,"flexible",4,8
14276073,257284,3,2,1,3,1494,5,1125,2,2,"flexible",10,10
14277359,30699225,4,2,3,2,501,7,1125,2,1,"flexible",0,NA
14278077,22931264,6,2,1,6,1132,1,1125,2,4,"flexible",2,10
14278552,48778951,14,26,3,2,249,1,1125,2,3,"moderate",79,10
14278573,22931264,6,2,1,6,2038,1,1125,2,4,"flexible",5,8
14278619,45850752,11,2,1,4,679,2,1125,2,2,"moderate",193,10
14281509,33312974,6,2,1,5,2446,2,30,3,4,"strict_14_with_grace_period",133,10
14296137,87291864,11,2,1,2,3555,1,1125,1,1,"flexible",0,NA
14296220,87139722,9,2,3,2,387,1,7,1,2,"strict_14_with_grace_period",12,10
14296638,75525375,14,26,3,1,203,3,1125,1,1,"moderate",0,NA
